match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1878",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",England,India,"2022-11-10 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1867",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",England,"Sri Lanka","2022-11-05 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1858",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",England,"New Zealand","2022-11-01 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1849b",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",Australia,England,"2022-10-28 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1846",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",England,Ireland,"2022-10-26 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1840",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",Afghanistan,England,"2022-10-22 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
"T20I # 1836",U.A.E.,"Alishan Sharafu","Right hand Bat","Right arm Medium","Opening Batter",Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1832",U.A.E.,"Alishan Sharafu","Right hand Bat","Right arm Medium","Opening Batter","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",U.A.E.,"Alishan Sharafu","Right hand Bat","Right arm Medium","Opening Batter",Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1837","West Indies","Alzarri Joseph","Right hand Bat","Right arm Fast",Bowler,Ireland,"West Indies","2022-10-21 00:00:00",Qualifier,,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
"T20I # 1834","West Indies","Alzarri Joseph","Right hand Bat","Right arm Fast",Bowler,"West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
"T20I # 1826","West Indies","Alzarri Joseph","Right hand Bat","Right arm Fast",Bowler,Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
